English,German Singular,German Plural,Differences
108. Number,Die Nummer,Die Nummern,n
109. Husband,Der Ehemann,Die Ehemänner,":, er"
110. Parent,Der Elternteil,Die Elternteile,e
111. Corner,Die Ecke,Die Ecken,n
112. Problem,Das Problem,Die Probleme,e
113. Couple,Das Paar,Die Paare,e
114. Daughter,Die Tochter,Die Töchter,":, "
115. Bag,Die Tasche,Die Taschen,n
116. Hell,Die Hölle,-,"-, "
117. Rest,Die Ruhe,-,"-, "
118. Business,Das Geschäft,Die Geschäfte,e
119. Sky,Der Himmel,Die Himmel,
120. Box,Die Schachtel,Die Schachteln,n
121. Person,Die Person,Die Personen,en
122. Reason,Der Grund,Die Gründe,":, e"
123. Right,Das Recht,-,"-, "
124. Skin,Die Haut,Die Häute,":, e"
125. Dad,Der Vater,Die Väter,":, "
126. Case,Der Fall,Die Fälle,":, e"
127. Piece,Das Stück,Die Stücke,e
128. Doctor,Der Arzt,Die Ärzte,":, e"
129. Edge,Der Rand,Die Ränder,":, er"
130. Mom,Die Mutter,Die Mütter,":, "
131. Picture,Das Bild,Die Bilder,er
132. Sense,Der Sinn,Die Sinne,e
133. Ear,Das Ohr,Die Ohren,en
134. Second,Die Sekunde,Die Sekunden,n
135. Lady,Die Dame,Die Damen,n
136. Neck,Der Hals,Die Hälse,":, e"
137. Wind,Der Wind,Die Winde,e
138. Desk,Der Schreibtisch,Die Schreibtische,e
139. Gun,Die Waffe,Die Waffen,n
140. Stone,Der Stein,Die Steine,e
141. Coffee,Der Kaffee,Die Kaffees,s
142. Ship,Das Schiff,Die Schiffe,e
143. Earth,Die Erde,-,"-, "
144. Food,Das Essen,-,"-, "
145. Horse,Das Pferd,Die Pferde,e
146. Field,Das Feld,Die Felder,er
147. War,Der Krieg,Die Kriege,e
148. Afternoon,Der Nachmittag,Die Nachmittage,e
149. Sir,Der Herr,Die Herren,en
150. Space,Der Raum,Die Räume,":, e"
151. Evening,Der Abend,Die Abende,e
152. Letter,Der Brief,Die Briefe,e
153. Bar,Die Bar,Die Bars,s
154. Dream,Der Traum,Die Träume,":, e"
155. Apartment,Die Wohnung,Die Wohnungen,en
156. Chest,Die Brust,Die Brüste,":, e"
157. Game,Das Spiel,Die Spiele,e
158. Summer,Der Sommer,Die Sommer,
159. Matter,Die Angelegenheit,Die Angelegenheiten,en
160. Silence,Die Stille,-,"-, "
161. Top,Die Spitze,Die Spitzen,n
162. Rock,Der Felsen,Die Felsen,
163. Power,Die Macht,-,"-, "
164. Clothes,Die Kleidung,-,"-, "
165. Sign,Das Schild,Die Schilder,er
166. Attention,Die Aufmerksamkeit,-,"-, "
167. Music,Die Musik,-,"-, "
168. State,Der Zustand,Die Zustände,":, e"
169. Pocket,Die Tasche,Die Taschen,n
170. Dinner,Das Abendessen,Die Abendessen,
171. Hall,Der Saal,Die Säle,":, l, e, "
172. Pain,Der Schmerz,Die Schmerzen,en
173. Age,Das Alter,-,"-, "
174. River,Der Fluss,Die Flüsse,":, e"
175. Chance,Die Chance,Die Chancen,n
176. Nose,Die Nase,Die Nasen,n
177. Shadow,Der Schatten,Die Schatten,
178. Police,Die Polizei,-,"-, "
179. Memory,Die Erinnerung,Die Erinnerungen,en
180. Color,Die Farbe,Die Farben,n
181. Knee,Das Knie,Die Knie,
182. Wood,Das Holz,-,"-, "
183. Shirt,Das Hemd,Die Hemden,en
184. Party,Die Party,Die Partys,s
185. Country,Das Land,Die Länder,":, er"
186. Truck,Der Lastwagen,Die Lastwagen,
187. Tooth,Der Zahn,Die Zähne,":, e"
188. Bill,Die Rechnung,Die Rechnungen,en
189. Scene,Die Szene,Die Szenen,n
190. Land,Das Land,Die Länder,":, er"
191. Star,Der Stern,Die Sterne,e
192. Bird,Der Vogel,Die Vögel,":, "
193. Bedroom,Das Schlafzimmer,Die Schlafzimmer,
194. Uncle,Der Onkel,Die Onkel,
195. Sort,Die Art,-,"-, "
196. Group,Die Gruppe,Die Gruppen,n
197. Truth,Die Wahrheit,Die Wahrheiten,en
198. Trouble,Die Schwierigkeit,-,"-, "
199. Crowd,Die Menschenmenge,Die Menschenmengen,n
200. Station,Der Bahnhof,Die Bahnhöfe,":, e"
201. Tear,Die Träne,Die Tränen,n
202. Class,Die Klasse,Die Klassen,n
203. Sea,Das Meer,Die Meere,e
204. Animal,Das Tier,Die Tiere,e
205. Center,Das Zentrum,Die Zentren,"e, n, "
206. Feeling,Das Gefühl,Die Gefühle,e
207. Store,Das Geschäft,Die Geschäfte,e
208. Mountain,Der Berg,Die Berge,e
209. News,Die Nachrichten,-,"-, "
210. Shoe,Der Schuh,Die Schuhe,e
211. Cat,Die Katze,Die Katzen,n
212. Screen,Der Bildschirm,Die Bildschirme,e
213. Bottle,Die Flasche,Die Flaschen,n
214. Call,Der Anruf,Die Anrufe,e
215. Living,Das Wohnzimmer,Die Wohnzimmer,
216. Cheek,Die Wange,Die Wangen,n
217. Student,Der Student,Die Studenten,en
218. Ball,Der Ball,Die Bälle,":, e"
219. Sight,Der Anblick,Die Anblicke,e
220. Hill,Der Hügel,Die Hügel,
221. Company,Das Unternehmen,Die Unternehmen,
222. Church,Die Kirche,Die Kirchen,n
223. Rain,Der Regen,Die Regen,
224. Suit,Der Anzug,Die Anzüge,":, e"
225. One,Die Eins,-,"-, "
226. Direction,Die Richtung,Die Richtungen,en
227. Will,Der Wille,-,"-, "
228. Throat,Der Hals,Die Hälse,":, e"
229. Middle,Die Mitte,-,"-, "
230. Answer,Die Antwort,Die Antworten,en
231. Stuff,Das Zeug,-,"-, "
232. Hospital,Das Krankenhaus,Die Krankenhäuser,":, er"
233. Camera,Die Kamera,Die Kameras,s
234. Dress,Das Kleid,Die Kleider,er
235. Card,Die Karte,Die Karten,n
236. Yard,Der Hof,Die Höfe,":, e"
237. Dark,Die Dunkelheit,-,"-, "
238. Shit,Die Scheiße,-,"-, "
239. Image,Das Bild,Die Bilder,er
240. Machine,Die Maschine,Die Maschinen,n
241. Distance,Die Entfernung,Die Entfernungen,en
242. Area,Das Gebiet,Die Gebiete,e
243. Narrator,Der Erzähler,Die Erzähler,
244. Ice,Das Eis,Die Eis,
245. Snow,Der Schnee,-,"-, "
246. Note,Die Notiz,Die Notizen,en
247. Mirror,Der Spiegel,Die Spiegel,
248. King,Der König,Die Könige,e
249. Fear,Die Angst,-,"-, "
250. Officer,Der Beamte,Die Beamten,n
251. Hole,Das Loch,Die Löcher,":, er"
252. Shot,Der Schuss,Die Schüsse,":, e"
253. Guard,Der Wächter,Die Wächter,
254. Conversation,Das Gespräch,Die Gespräche,e
255. Boat,Das Boot,Die Boote,e
256. System,Das System,Die Systeme,e
257. Care,Die Sorge,Die Sorgen,n
258. Bit,Das Bit,Die Bits,s
259. Movie,Der Film,Die Filme,e
260. Bone,Der Knochen,Die Knochen,
261. Page,Die Seite,Die Seiten,n
262. Captain,Der Kapitän,Die Kapitäne,e
263. Aunt,Die Tante,Die Tanten,n
264. Darkness,Die Dunkelheit,-,"-, "
265. Control,Die Kontrolle,Die Kontrollen,n
266. Drink,Das Getränk,Die Getränke,e
267. Hotel,Das Hotel,Die Hotels,s
268. Coat,Der Mantel,Die Mäntel,":, "
269. Stair,Die Treppe,Die Treppen,n
270. Order,Die Bestellung,Die Bestellungen,en
271. Rose,Die Rose,Die Rosen,n
272. Miss,Die Miss,-,"-, "
273. Hat,Der Hut,Die Hüte,":, e"
274. Gold,Das Gold,-,"-, "
275. Cigarette,Die Zigarette,Die Zigaretten,n
276. Cloud,Die Wolke,Die Wolken,n
277. View,Die Aussicht,Die Aussichten,en
278. Driver,Der Fahrer,Die Fahrer,
279. Cup,Die Tasse,Die Tassen,n
280. Figure,Die Figur,Die Figuren,en
281. Expression,Der Ausdruck,Die Ausdrücke,":, e"
282. Path,Der Weg,Die Wege,e
283. Key,Der Schlüssel,Die Schlüssel,
284. Computer,Der Computer,Die Computer,
285. Flower,Die Blume,Die Blumen,n
286. Ring,Der Ring,Die Ringe,e
287. Bathroom,Das Badezimmer,Die Badezimmer,
288. Metal,Das Metall,Die Metalle,e
289. Moon,Der Mond,Die Monde,e
290. Song,Das Lied,Die Lieder,er
291. Soldier,Der Soldat,Die Soldaten,en
292. Radio,Das Radio,Die Radios,s
293. History,Die Geschichte,Die Geschichten,n
294. Wave,Die Welle,Die Wellen,n
295. Plan,Der Plan,Die Pläne,":, e"
296. College,Das College,Die Colleges,s
297. Fish,Der Fisch,Die Fische,e
298. Garden,Der Garten,Die Gärten,":, "
299. Train,Der Zug,Die Züge,":, e"
300. Shop,Das Geschäft,Die Geschäfte,e
301. Cop,Der Polizist,Die Polizisten,en
302. Art,Die Kunst,-,"-, "
303. Beer,Das Bier,Die Biere,e
304. North,Der Norden,-,"-, "
305. Island,Die Insel,Die Inseln,n
306. Bus,Der Bus,Die Busse,se
307. Smell,Der Geruch,Die Gerüche,":, e"
308. Noise,Das Geräusch,Die Geräusche,e
309. Mama,Mama,-,"-, "
310. Park,Der Park,Die Parks,s
311. South,Der Süden,-,"-, "
312. Pair,Das Paar,Die Paare,e
313. Lord,Der Herr,Die Herren,en
314. Plate,Der Teller,Die Teller,
315. Jacket,Die Jacke,Die Jacken,n
316. Help,Die Hilfe,Die Hilfen,n
317. Daddy,Der Papa,Die Papas,s
318. Grass,Das Gras,Die Gräser,":, er"
319. Thanks,Der Dank,Die Danksagungen,sagungen
320. Heat,Die Hitze,-,"-, "
321. Sleep,Der Schlaf,-,"-, "
322. Brain,Das Gehirn,Die Gehirne,e
323. Service,Der Service,Die Services,s
324. Trip,Die Reise,Die Reisen,n
325. Beat,Der Schlag,Die Schläge,":, e"
326. Knife,Das Messer,Die Messer,
327. Spot,Der Fleck,Die Flecken,en
328. Message,Die Nachricht,Die Nachrichten,en
329. Mark,Das Zeichen,Die Zeichen,
330. Teacher,Der Lehrer,Die Lehrer,
331. Gaze,Der Blick,Die Blicke,e
332. Village,Das Dorf,Die Dörfer,":, er"
333. Winter,Der Winter,Die Winter,
334. Front,Die Front,Die Fronten,en
335. Law,Das Gesetz,Die Gesetze,e
336. Surface,Die Oberfläche,Die Oberflächen,n
337. Bank,Die Bank,Die Banken,en
338. Team,Das Team,Die Teams,s
339. Maximum,Das Maximum,Die Maxima,"a, "
340. Position,Die Position,Die Positionen,en
341. Stomach,Der Magen,Die Mägen,":, "
342. Turn,Die Wende,-,"-, "
343. West,Der Westen,-,"-, "
344. Lunch,Das Mittagessen,Die Mittagessen,
345. Change,Die Veränderung,Die Veränderungen,en
346. Creature,Das Lebewesen,Die Lebewesen,
347. Soul,Die Seele,Die Seelen,n
348. Leaf,Das Blatt,Die Blätter,":, er"
349. Show,Die Show,Die Shows,s
350. Gate,Das Tor,Die Tore,e
351. Palm,Die Palme,Die Palmen,n
352. Plastic,Das Plastik,-,"-, "
353. Force,Die Kraft,Die Kräfte,":, e"
355. Beach,Der Strand,Die Strände,":, e"
356. President,Der Präsident,Die Präsidenten,en
357. Shape,Die Form,Die Formen,en
358. Smoke,Der Rauch,Die Rauch,
359. Wheel,Das Rad,Die Räder,":, er"
360. Silver,Das Silber,-,"-, "
361. Roof,Das Dach,Die Dächer,":, er"
362. Weight,Das Gewicht,Die Gewichte,e
363. Tongue,Die Zunge,Die Zungen,n
364. Tea,Der Tee,Die Tees,s
365. Track,Die Strecke,Die Strecken,n
366. Angle,Der Winkel,Die Winkel,
367. Form,Die Form,Die Formen,en
368. Tone,Der Ton,Die Töne,":, e"
369. Circle,Der Kreis,Die Kreise,e
370. Spring,Der Frühling,Die Frühlinge,e
371. Porch,Die Veranda,Die Veranden,"e, n"
372. Sheet,Das Blatt,Die Blätter,":, er"
373. Member,Das Mitglied,Die Mitglieder,er
374. Pool,Der Pool,Die Pools,s
375. Need,Das Bedürfnis,Die Bedürfnisse,se
376. Hope,Die Hoffnung,Die Hoffnungen,en
377. Lake,Der See,Die Seen,n
378. Breast,Die Brust,Die Brüste,":, e"
379. Surprise,Die Überraschung,Die Überraschungen,en
380. Interest,Das Interesse,-,"-, "
381. Bottom,Der Boden,Die Böden,":, "
382. Spirit,Der Geist,Die Geister,er
383. Block,Der Block,Die Blöcke,":, e"
384. Language,Die Sprache,Die Sprachen,n
385. Bridge,Die Brücke,Die Brücken,n
386. Dust,Der Staub,-,"-, "
387. Cell,Die Zelle,Die Zellen,n
388. Wine,Der Wein,Die Weine,e
389. Boot,Der Stiefel,Die Stiefel,
390. Choice,Die Wahl,Die Wahlen,en
391. Row,Die Reihe,Die Reihen,n
392. Talk,Das Gespräch,Die Gespräche,e
393. Plane,Das Flugzeug,Die Flugzeuge,e
394. Watch,Die Uhr,Die Uhren,en
395. Information,Die Information,Die Informationen,en
396. Grandmother,Die Großmutter,-,"-, "
397. Wing,Der Flügel,Die Flügel,
398. Bob,Der Bob,Die Bobs,s
399. Club,Der Club,Die Clubs,s
400. Master,Der Meister,Die Meister,
401. Grace,Die Gnade,Die Gnaden,n
402. Forest,Der Wald,Die Wälder,":, er"
403. Size,Die Größe,Die Größen,n
404. Set,Der Satz,Die Sätze,":, e"
405. Marriage,Die Ehe,Die Ehen,n
406. Forehead,Die Stirn,Die Stirnen,en
407. Storm,Der Sturm,Die Stürme,":, e"
408. Doorway,Der Durchgang,Die Durchgänge,":, e"
409. Situation,Die Situation,Die Situationen,en
410. Counter,Die Theke,Die Theken,n
411. Neighbor,Der Nachbar,Die Nachbarn,n
412. Photo,Das Foto,Die Fotos,s
413. Stage,Die Bühne,Die Bühnen,n
414. Meeting,Das Treffen,Die Treffen,
415. Nurse,Die Krankenschwester,Die Krankenschwestern,n
416. Security,Die Sicherheit,Die Sicherheiten,en
417. Weapon,Die Waffe,Die Waffen,n
418. Event,Das Ereignis,Die Ereignisse,se
419. Ceiling,Die Decke,Die Decken,n
420. Engine,Der Motor,Die Motoren,en
421. Gift,Das Geschenk,Die Geschenke,e
422. Restaurant,Das Restaurant,Die Restaurants,s
423. Board,Das Brett,Die Bretter,er
424. Hallway,Der Flur,Die Flure,e
425. Army,Die Armee,-,"-, "
426. Effort,Der Aufwand,Die Aufwände,":, e"
427. East,Der Osten,-,"-, "
428. Agent,Der Agent,Die Agenten,en
429. Future,Die Zukunft,Die Zukunft,
430. Pant,Die Hose,Die Hosen,n
431. Leather,Das Leder,-,"-, "
432. Flight,Der Flug,Die Flüge,":, e"
433. Sex,Der Sex,-,"-, "
434. Court,Das Gericht,Die Gerichte,e
435. Course,Der Kurs,Die Kurse,e
436. Dirt,Der Schmutz,-,"-, "
437. Egg,Das Ei,Die Eier,er
438. Chin,Das Kinn,Die Kinne,e
439. Stranger,Der Fremde,Die Fremden,n
440. Pleasure,Das Vergnügen,Die Vergnügen,
441. Detail,Das Detail,Die Details,s
442. Crew,Die Besatzung,Die Besatzungen,en
443. Fall,Der Herbst,Die Fälle,"F, :, l, l, e, "
444. Guest,Der Gast,Die Gäste,":, e"
445. Experience,Die Erfahrung,Die Erfahrungen,en
446. Joke,Der Witz,Die Witze,e
447. Sand,Der Sand,-,"-, "
448. Fist,Die Faust,Die Fäuste,":, e"
449. Action,Die Aktion,Die Aktionen,en
450. Walk,Der Spaziergang,Die Spaziergänge,":, e"
451. Wedding,Die Hochzeit,Die Hochzeiten,en
452. Deal,Das Geschäft,Die Geschäfte,e
453. Nature,Die Natur,-,"-, "
454. Planet,Der Planet,Die Planeten,en
455. Cousin,Der Cousin,Die Cousins,s
456. Movement,Die Bewegung,Die Bewegungen,en
457. Flesh,Das Fleisch,-,"-, "
458. Record,Der Rekord,Die Rekorde,e
459. Camp,Das Lager,Die Lager,
460. Newspaper,Die Zeitung,Die Zeitungen,en
461. Ray,Der Strahl,Die Strahlen,en
462. Human,Der Mensch,Die Menschen,en
463. Couch,Die Couch,Die Couches,es
464. Motion,Die Bewegung,Die Bewegungen,en
465. Grandfather,Der Großvater,Die Großväter,":, "
466. Photograph,Das Foto,Die Fotos,s
467. Secret,Das Geheimnis,Die Geheimnisse,se
468. Beauty,Die Schönheit,Die Schönheiten,en
469. Presence,Die Anwesenheit,-,"-, "
470. Bell,Die Glocke,Die Glocken,n
471. Folk,Das Volk,-,"-, "
472. Button,Der Knopf,Die Knöpfe,":, e"
473. List,Die Liste,Die Listen,n
474. Level,Das Level,Die Level,
475. Date,Das Datum,Die Daten,"e, n, "
476. Subject,Das Fach,Die Fächer,":, er"
477. Difference,Der Unterschied,Die Unterschiede,e
478. Pause,Die Pause,Die Pausen,n
479. Van,Der Lieferwagen,Die Lieferwagen,
480. Blade,Die Klinge,Die Klingen,n
481. Television,Das Fernsehen,Die Fernseher,"r, "
482. Cover,Die Abdeckung,Die Abdeckungen,en
483. Past,Die Vergangenheit,-,"-, "
484. Farm,Die Farm,Die Farmen,en
485. Lap,Der Schoß,Die Schoß,
486. Band,Die Band,Die Bands,s
487. Lawyer,Der Anwalt,Die Anwälte,":, e"
488. Magazine,Das Magazin,Die Magazine,e
489. Branch,Der Ast,Die Äste,":, e"
490. Frame,Der Rahmen,Die Rahmen,
491. Deck,Das Deck,Die Decks,s
492. Effect,Die Wirkung,Die Wirkungen,en
493. Dance,Der Tanz,Die Tänze,":, e"
494. Vision,Die Vision,Die Visionen,en
495. Ghost,Das Geist,Die Geister,er
496. Ass,Der Hintern,Die Hintern,
497. Character,Der Charakter,Die Charaktere,e
498. Glance,Der Blick,Die Blicke,e
499. Goodbye,Der Abschied,-,"-, "
500. Parking,Das Parken,-,"-, "
501. Breakfast,Das Frühstück,Die Frühstücke,e
502. Gesture,Die Geste,Die Gesten,n
503. Luck,Das Glück,-,"-, "
504. Blanket,Die Decke,Die Decken,n
505. Gas,Das Gas,-,"-, "
506. Corridor,Der Korridor,Die Korridore,e
507. Professor,Der Professor,Die Professoren,en
508. Play,Das Stück,Die Stücke,e
509. Mistake,Der Fehler,Die Fehler,
510. University,Die Universität,Die Universitäten,en
511. Ocean,Der Ozean,Die Ozeane,e
512. Century,Das Jahrhundert,Die Jahrhunderte,e
513. Honey,Der Honig,-,"-, "
514. Pile,Der Stapel,Die Stapel,
515. Bowl,Die Schüssel,Die Schüsseln,n
516. Base,Die Basis,Die Basen,"e, n, "
517. Fence,Der Zaun,Die Zäune,":, e"
518. Rule,Die Regel,Die Regeln,n
519. Laughter,Das Lachen,-,"-, "
520. Anger,Der Ärger,-,"-, "
521. Sweat,Der Schweiß,-,"-, "
522. Accident,Der Unfall,Die Unfälle,":, e"
523. Weather,Das Wetter,-,"-, "
524. Decision,Die Entscheidung,Die Entscheidungen,en
525. Angel,Der Engel,Die Engel,
526. Strength,Die Stärke,Die Stärken,n
527. Chicken,Das Huhn,Die Hühner,":, er"
528. Study,Das Studium,Die Studien,"e, n, "
529. Tape,Das Band,Die Bänder,":, er"
530. Wrist,Das Handgelenk,Die Handgelenke,e
531. Stop,Der Halt,Die Halte,e
532. Hip,Die Hüfte,Die Hüften,n
533. Government,Die Regierung,Die Regierungen,en
534. Belly,Der Bauch,Die Bäuche,":, e"
535. Queen,Die Königin,Die Königinnen,nen
536. Report,Der Bericht,Die Berichte,e
537. Tail,Der Schwanz,Die Schwänze,":, e"
538. Plant,Die Pflanze,Die Pflanzen,n
539. Flame,Die Flamme,Die Flammen,n
540. Heaven,Der Himmel,Die Himmel,
541. Belt,Der Gürtel,Die Gürtel,
542. Neighborhood,Die Nachbarschaft,Die Nachbarschaften,en
543. Energy,Die Energie,-,"-, "
544. Green,Das Grün,-,"-, "
545. Quarter,Das Viertel,Die Viertel,
546. Enemy,Der Feind,Die Feinde,e
547. Move,Der Zug,Die Züge,":, e"
548. Entrance,Der Eingang,Die Eingänge,":, e"
549. Library,Die Bibliothek,Die Bibliotheken,en
550. Writer,Der Schriftsteller,Die Schriftsteller,
551. Peace,Der Frieden,-,"-, "
552. Touch,Die Berührung,Die Berührungen,en
553. Pot,Der Topf,Die Töpfe,":, e"
554. Type,Die Art,-,"-, "
555. Cause,Die Ursache,Die Ursachen,n
556. Rope,Das Seil,Die Seile,e
557. Muscle,Der Muskel,Die Muskeln,n
558. Painting,Das Gemälde,Die Gemälde,
559. Curtain,Der Vorhang,Die Vorhänge,":, e"
560. Meal,Die Mahlzeit,Die Mahlzeiten,en
561. Act,Der Akt,Die Akte,e
562. Wolf,Der Wolf,Die Wölfe,":, e"
563. Cabin,Die Kabine,Die Kabinen,n
564. Charge,Die Gebühr,Die Gebühren,en
565. Clock,Die Uhr,Die Uhren,en
566. Passenger,Der Passagier,Die Passagiere,e
567. Buddy,Der Kumpel,Die Kumpel,
568. Drug,Das Medikament,Die Medikamente,e
569. Use,Die Verwendung,Die Verwendungen,en
570. Bench,Die Bank,Die Bänke,":, e"
571. Traffic,Der Verkehr,-,"-, "
572. Relief,Die Erleichterung,-,"-, "
573. Cap,Die Mütze,Die Mützen,n
574. Pack,Das Pack,Die Packs,s
575. Weekend,Das Wochenende,Die Wochenenden,n
576. Stand,Der Stand,Die Stände,":, e"
577. Elevator,Der Aufzug,Die Aufzüge,":, e"
578. Birthday,Der Geburtstag,Die Geburtstage,e
579. Lily,Die Lilie,Die Lilien,n
580. Iron,Das Eisen,Die Eisen,
581. Meat,Das Fleisch,-,"-, "
582. Eyebrow,Die Augenbraue,Die Augenbrauen,n
583. Response,Die Antwort,Die Antworten,en
584. Speed,Die Geschwindigkeit,Die Geschwindigkeiten,en
585. Purpose,Der Zweck,Die Zwecke,e
586. Skirt,Der Rock,Die Röcke,":, e"
587. Square,Das Quadrat,Die Quadrate,e
588. Drive,Die Fahrt,Die Fahrten,en
589. Article,Der Artikel,Die Artikel,
590. English,Das Englisch,-,"-, "
591. Tower,Der Turm,Die Türme,":, e"
592. Battle,Die Schlacht,Die Schlachten,en
593. Film,Der Film,Die Filme,e
594. Race,Das Rennen,Die Rennen,
595. Shock,Der Schock,Die Schocks,s
596. Section,Die Sektion,Die Sektionen,en
597. Manner,Die Art,-,"-, "
598. Sword,Das Schwert,Die Schwerter,er
599. Stick,Der Stock,Die Stöcke,":, e"
600. File,Die Datei,Die Dateien,en
601. Bread,Das Brot,-,"-, "
602. Oil,Das Öl,-,"-, "
603. Chain,Die Kette,Die Ketten,n
604. Department,Die Abteilung,Die Abteilungen,en
605. Project,Das Projekt,Die Projekte,e
606. Murder,Der Mord,Die Morde,e
